TransactionID,Date,Ticker,Action,Quantity,PricePerShare,Commission
1,2023-01-15,GOOG,BUY,10,95.50,5.00
2,2023-02-10,AAPL,BUY,20,150.25,5.00
3,2023-03-05,MSFT,BUY,15,280.75,5.00
4,2023-04-20,GOOG,SELL,5,105.00,5.00
5,2023-05-12,TSLA,BUY,8,180.00,5.00
6,2023-06-25,AAPL,BUY,10,175.50,5.00
7,2023-07-18,MSFT,SELL,10,330.00,5.00
8,2023-08-30,GOOG,BUY,7,130.20,5.00
9,2023-09-14,NVDA,BUY,5,450.80,5.00
10,2023-10-22,TSLA,SELL,4,210.50,5.00
11,2023-11-05,AAPL,SELL,15,190.10,5.00
12,2023-12-15,MSFT,BUY,8,370.60,5.00
13,2024-01-10,AMZN,BUY,12,155.20,5.00
14,2024-01-25,GOOG,BUY,5,140.50,5.00
15,2024-02-05,NVDA,SELL,3,680.00,5.00
16,2024-02-15,AAPL,BUY,10,185.75,5.00
17,2024-03-01,MSFT,BUY,5,405.10,5.00
18,2024-03-18,TSLA,BUY,10,170.80,5.00
19,2024-04-02,AMZN,SELL,8,180.30,5.00
20,2024-04-15,GOOG,SELL,6,155.00,5.00
21,2024-05-01,NVDA,BUY,2,850.50,5.00
22,2024-05-20,AAPL,BUY,8,192.00,5.00
23,2024-06-05,MSFT,SELL,7,420.00,5.00
24,2024-06-18,TSLA,SELL,5,185.90,5.00
25,2024-07-01,AMZN,BUY,10,190.60,5.00
26,2024-07-15,GOOG,BUY,4,175.80,5.00 
